0,BIO_COMC,BIO_COMC_CCS,BIO_STUR,BIO_STUR_CCS,Biogas_ICEN,GAS_Autoproducer,GAS_COMC,GAS_COMC_CCS,GAS_GTUR,GAS_SOFC,GAS_STUR,GEO_STUR,HRD_COMC,HRD_COMC_CCS,HRD_STUR,HYD_PEMFC,LIG_STUR,NUC_STUR,OIL_Autoproducers,OIL_COMC,OIL_GTUR,OIL_STUR,Ocean_TIDAL,Ocean_WAVE,SUN_PHOT,SUN_STUR,WAT_HDAM,WAT_HPHS,WAT_HROR,WIN_WTOF,WIN_WTON
AT,2061.0,0.0,0.0,0.0,30.0,0.0,4257.0,4354.0,1751.0,0.0,178.0,474.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78132.0,0.0,3684.0,2055.0,6280.0,0.0,12362.0
BE,20.0,0.0,1622.0,0.0,0.0,308.0,14576.0,7571.0,4192.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,129067.0,0.0,0.0,0.0,105.0,3864.0,18130.0
BG,66.0,194.0,11.0,0.0,64.0,0.0,3276.0,439.0,1129.0,0.0,213.0,628.0,0.0,0.0,479.0,0.0,1303.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,32493.000000000004,0.0,1933.0,0.0,51.0,0.0,6935.0
CH,0.0,0.0,450.0,0.0,68.0,0.0,7210.0,0.0,1442.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15550.0,0.0,8303.0,1835.0,3456.0,0.0,12125.0
CY,0.0,0.0,0.0,0.0,25.0,0.0,606.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,21871.0,1724.0,0.0,0.0,0.0,0.0,0.0
CZ,1597.0,0.0,0.0,0.0,0.0,181.0,6713.0,3305.0,2403.0,0.0,0.0,342.0,0.0,0.0,800.0,0.0,1684.0,1926.0,0.0,0.0,0.0,0.0,0.0,0.0,26774.0,0.0,793.0,280.0,227.0,0.0,41890.0
DE,9769.0,0.0,384.0,0.0,11.0,0.0,100229.0,8513.0,21317.0,0.0,0.0,2475.0,0.0,0.0,0.0,0.0,4089.0000000000005,0.0,0.0,216.0,0.0,249.0,216.0,0.0,267570.0,0.0,1166.0,275.0,3402.0,105545.0,106972.0
DK,506.0,998.0,0.0,0.0,69.0,0.0,7783.0,0.0,1974.0,0.0,0.0,209.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12772.0,0.0,0.0,0.0,0.0,1246.0,46685.0
EE,73.0,164.0,0.0,74.0,85.0,0.0,1144.0,597.0,473.0,0.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,0.0,0.0,0.0,0.0,868.0,7843.0
EL,238.0,0.0,163.0,0.0,0.0,0.0,6875.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,833.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,95597.0,16938.0,2358.0,0.0,49.0,0.0,6791.0
