Name	C_inv	C_maint	C_Op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	0.000000
CCGT_CCS	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
COAL_US_CCS	0.000000	0.000000	0.000000
COAL_IGCC_CCS	0.000000	0.000000	0.000000
PV	0.000000	0.000000	0.000000
WIND	0.000000	0.000000	0.000000
HYDRO_DAM	1722.085353	195.051200	0.000000
NEW_HYDRO_DAM	0.000000	0.000000	0.000000
HYDRO_RIVER	903.669099	204.706000	0.000000
NEW_HYDRO_RIVER	0.000000	0.000000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
NEWSOLAR_TURBINE	137.439746	0.000000	0.000000
IND_COGEN_GAS	0.000000	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.390502	0.101979	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	6.947867	1.811250	0.000000
IND_BOILER_WASTE	10.935611	2.850820	0.000000
IND_DIRECT_ELEC	17.592802	0.944177	0.000000
DHN_HP_ELEC	43.025726	25.708523	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	9.225294	2.409162	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	65.393259	46.803456	0.000000
DEC_HP_ELEC	234.641612	136.617136	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	32.509553	12.714947	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	14.178561	11.085043	0.000000
DEC_SOLAR	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC	13.538525	0.712869	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_CapitalfUEL_CELL	0.000000	0.000000	0.000000
TRAIN_CapitalfREIGHT	0.000000	0.000000	0.000000
TRUCK	0.000000	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
LNG_STO	0.000000	0.000000	0.000000
PHES	81.114161	7.380000	0.000000
BATT_LI	0.000000	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	20.594827	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DHN_DAILY	8.602921	0.000000	0.000000
TS_DHN_SEASONAL	9.422104	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	7.607624	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000	0.000000
TS_DEC_BOILER_OIL	4.119000	0.000000	0.000000
NEWSOLAR_STORAGE	0.000000	0.000000	0.000000
ECapitalfCapitalfICIENCY	1856.000000	0.000000	0.000000
DHN	153.728955	0.000000	0.000000
GRID	2087.403478	0.000000	0.000000
POWER2GAS_in	0.000000	0.000000	0.000000
POWER2GAS_out	0.000000	0.000000	0.000000
POWER2GAS	0.000000	0.000000	0.000000
H2_ELECTROLYSIS	16.238271	19.212786	0.000000
H2_NG	0.000000	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000	0.000000
GASICapitalfICATION_SNG	0.000000	0.000000	0.000000
PYROLYSIS	0.000000	0.000000	0.000000
NEWSOLAR_SOLTOHEAT	155.392411	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	0.000000
GASOLINE	0.000000	0.000000	665.053536
DIESEL	0.000000	0.000000	1178.927347
BIOETHANOL	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000
LCapitalfO	0.000000	0.000000	308.930596
LNG	0.000000	0.000000	0.000000
NG	0.000000	0.000000	490.811813
NG_CCS	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	213.555450
COAL_CCS	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
